text,label
"Please turn on the lights","action_device"
"What's the weather like today?","query_weather"
"Set a timer for 5 minutes","action_timer"
"Play some jazz music","action_media"
"Turn off the TV","action_device"
"What time is it?","query_time"
"Remind me to call John at 5pm","action_reminder"
"How many days until Christmas?","query_date"
"Add milk to my shopping list","action_list"
"What's on my calendar today?","query_calendar"
"Switch off the bedroom lights","action_device"
"Is it going to rain tomorrow?","query_weather"
"Start a 10 minute countdown","action_timer"
"Play the latest pop hits","action_media"
"Power down the computer","action_device"
"Tell me the current time","query_time"
"Set a reminder for my dentist appointment","action_reminder"
"What day is Thanksgiving?","query_date"
"Put eggs on my grocery list","action_list"
"Show me my schedule for tomorrow","query_calendar"
"Turn on the kitchen fan","action_device"
"What's the temperature outside?","query_weather"
"Set an alarm for 7am","action_timer"
"Play some classical music","action_media"
"Turn off all the lights","action_device"
"What's the time right now?","query_time"
"Remind me to take my medicine at 9pm","action_reminder"
"When is New Year's Day?","query_date"
"Add bread to the shopping list","action_list"
"What meetings do I have today?","query_calendar"
"Activate the air conditioner","action_device"
"Will it be sunny this weekend?","query_weather"
"Set a 30 second timer","action_timer"
"Play my workout playlist","action_media"
"Shut down the TV","action_device"
"Can you tell me what time it is?","query_time"
"Remind me about the team meeting at 2pm","action_reminder"
"How many days until my birthday?","query_date"
"Add cheese to my list","action_list"
"What's on my agenda for this week?","query_calendar"
"Turn the lights on in the living room","action_device"
"What's the weather forecast?","query_weather"
"Start a 15 minute timer","action_timer"
"Play some rock music","action_media"
"Switch off the fan","action_device"
"What's the current time?","query_time"
"Set a reminder to water the plants","action_reminder"
"What date is Easter?","query_date"
"Put tomatoes on my shopping list","action_list"
"Check my calendar for next Monday","query_calendar"
